label,size,time
3,64,0.001000
3,128,0.001000
3,256,0.006000
3,512,0.187000
3,1024,1.623000
3,2048,20.394000
3,4096,674.181000
3,32,0.000000
3,64,0.000000
3,128,0.001000
3,256,0.005000
3,512,0.198000
3,1024,1.572000
3,2048,21.813000
3,4096,667.938000
3,32,0.000000
3,64,0.000000
3,128,0.001000
3,256,0.006000
3,512,0.195000
3,1024,1.606000
3,2048,20.858000
3,4096,669.367000
3,32,0.000000
3,64,0.000000
3,128,0.001000
3,256,0.005000
3,512,0.185000
3,1024,1.559000
3,2048,19.786000
3,4096,671.779000
3,8192,8877.03779943
