label,param,size,time
6,16,2048,7.898000
6,16,4096,62.534000
6,16,512,0.078000
6,16,1024,0.921000
6,16,2048,7.495000
6,16,4096,62.080000
6,32,512,0.054000
6,32,1024,0.449000
6,32,2048,3.225000
6,32,4096,35.939000
6,32,512,0.044000
6,32,1024,0.384000
6,32,2048,3.137000
6,32,4096,36.145000
6,32,512,0.043000
6,32,1024,0.378000
6,32,2048,3.160000
6,32,4096,36.489000
6,32,512,0.044000
6,32,1024,0.384000
6,32,2048,3.166000
6,32,4096,36.331000
6,32,512,0.044000
6,32,1024,0.391000
6,32,2048,3.184000
6,32,4096,38.654000
6,64,512,0.026000
6,64,1024,0.216000
6,64,2048,2.158000
6,64,4096,18.440000
6,64,512,0.023000
6,64,1024,0.191000
6,64,2048,2.189000
6,64,4096,18.488000
6,64,512,0.021000
6,64,1024,0.189000
6,64,2048,2.184000
6,64,4096,18.457000
6,64,512,0.023000
6,64,1024,0.180000
6,64,2048,2.085000
6,64,4096,18.488000
6,64,512,0.022000
6,64,1024,0.170000
6,64,2048,2.179000
6,64,4096,20.854000
6,128,512,0.014000
6,128,1024,0.144000
6,128,2048,1.161000
6,128,4096,9.974000
6,128,512,0.011000
6,128,1024,0.118000
6,128,2048,1.118000
6,128,4096,9.974000
6,128,512,0.012000
6,128,1024,0.122000
6,128,2048,1.176000
6,128,4096,9.990000
6,128,512,0.011000
6,128,1024,0.113000
6,128,2048,1.131000
6,128,4096,10.830000
6,128,512,0.012000
6,128,1024,0.117000
6,128,2048,1.129000
6,128,4096,10.961000
6,128,8192,315.718000
6,128,8192,321.598000
6,128,8192,320.738000
6,128,8192,320.468000
6,128,8192,319.672000
6,256,512,0.017000
6,256,1024,0.158000
6,256,2048,1.376000
6,256,4096,38.638000
6,256,512,0.019000
6,256,1024,0.169000
6,256,2048,1.318000
6,256,4096,36.396000
6,256,512,0.016000
6,256,1024,0.125000
6,256,2048,1.216000
6,256,4096,36.521000
6,256,512,0.016000
6,256,1024,0.117000
6,256,2048,1.383000
6,256,4096,36.389000
6,256,512,0.016000
6,256,1024,0.118000
6,256,2048,1.221000
6,256,4096,36.444000
7,2,512,0.012000
7,2,1024,0.072000
7,2,2048,0.576000
7,2,4096,5.896000
7,2,8192,210.170000
7,2,512,0.000000
7,2,1024,0.054000
7,2,2048,0.592000
7,2,4096,6.021000
7,2,8192,216.459000
7,2,512,0.000000
7,2,1024,0.061000
7,2,2048,0.592000
7,2,4096,5.941000
7,2,8192,199.914000
7,2,512,0.006000
7,2,1024,0.058000
7,2,2048,0.596000
7,2,4096,6.242000
7,2,8192,213.902000
7,2,512,0.016000
7,2,1024,0.060000
7,2,2048,0.593000
7,2,4096,5.960000
7,2,8192,194.713000
7,4,512,0.009000
7,4,1024,0.058000
7,4,2048,0.495000
7,4,4096,15.931000
7,4,8192,257.981000
7,4,512,0.000000
7,4,1024,0.036000
7,4,2048,0.482000
7,4,4096,17.499000
7,4,512,0.010000
7,4,1024,0.080000
7,4,2048,0.986000
7,4,4096,8.945000
7,4,8192,239.006000
7,4,512,0.016000
7,4,1024,0.046000
7,4,2048,0.886000
7,4,4096,8.015000
7,4,8192,280.215000
7,4,512,0.000000
7,4,1024,0.043000
7,4,2048,0.798000
7,4,4096,8.814000
7,8,512,0.010000
7,8,1024,0.061000
7,8,2048,0.610000
7,8,4096,9.142000
7,8,8192,90.932000
7,8,512,0.008000
7,8,1024,0.066000
7,8,2048,0.567000
7,8,4096,9.274000
7,8,512,0.009000
7,8,1024,0.075000
7,8,2048,0.751000
7,8,4096,9.425000
7,8,8192,85.004000
7,8,512,0.007000
7,8,1024,0.062000
7,8,2048,0.722000
7,8,512,0.008000
7,8,1024,0.065000
7,8,2048,0.594000
7,8,4096,7.523000
7,8,8192,65.810000
7,8,512,0.008000
7,8,1024,0.057000
7,8,2048,0.479000
7,8,4096,7.235000
7,8,512,0.009000
7,8,1024,0.059000
7,8,2048,0.513000
7,8,4096,5.219000
7,8,8192,51.338000
7,8,512,0.007000
7,8,1024,0.051000
7,8,2048,0.456000
7,8,4096,5.253000
7,8,8192,48.977000
7,8,512,0.008000
7,8,1024,0.049000
7,8,2048,0.449000
7,8,4096,5.220000
7,8,8192,48.812000
7,8,512,0.006000
7,8,1024,0.048000
7,8,2048,0.437000
7,8,4096,5.210000
7,8,8192,47.921000
7,8,512,0.008000
7,8,1024,0.051000
7,8,2048,0.447000
7,8,4096,5.248000
7,8,8192,48.628000
7,4,512,0.007000
7,4,1024,0.065000
7,4,2048,0.438000
7,4,4096,5.865000
7,4,8192,68.948000
7,4,512,0.007000
7,4,1024,0.042000
7,4,2048,0.368000
7,4,4096,5.740000
7,4,8192,64.167000
7,4,512,0.015000
7,4,1024,0.041000
7,4,2048,0.370000
7,4,4096,5.740000
7,4,8192,63.599000
7,4,512,0.001000
7,4,1024,0.048000
7,4,2048,0.372000
7,4,4096,5.789000
7,4,8192,65.501000
7,4,512,0.000000
7,4,1024,0.043000
7,4,2048,0.375000
7,4,4096,5.734000
7,4,8192,65.153000
7,2,512,0.012000
7,2,1024,0.098000
7,2,2048,0.826000
7,2,4096,8.296000
7,2,8192,116.946000
7,2,512,0.011000
7,2,1024,0.069000
7,2,2048,0.693000
7,2,4096,8.435000
7,2,8192,118.639000
7,2,512,0.015000
7,2,1024,0.076000
7,2,2048,0.681000
7,2,4096,8.453000
7,2,8192,121.245000
7,2,512,0.008000
7,2,1024,0.080000
7,2,2048,0.703000
7,2,4096,8.406000
7,2,8192,119.207000
7,2,512,0.015000
7,2,1024,0.066000
7,2,2048,0.706000
7,2,4096,8.325000
7,2,8192,118.547000
