label,param,size,time
4,16,2048,8.559000
4,16,4096,75.456000
4,32,128,0.000000
4,32,256,0.005000
4,32,512,0.039000
4,32,1024,1.126000
4,32,2048,9.301000
4,32,4096,80.067000
4,32,128,0.001000
4,32,256,0.003000
4,32,512,0.033000
4,32,1024,1.104000
4,32,2048,9.538000
4,32,4096,80.327000
4,32,128,0.001000
4,32,256,0.003000
4,32,512,0.033000
4,32,1024,1.100000
4,32,2048,9.320000
4,32,4096,80.150000
4,32,128,0.000000
4,32,256,0.004000
4,32,512,0.038000
4,32,1024,1.132000
4,32,2048,9.482000
4,32,4096,80.567000
4,32,128,0.001000
4,32,256,0.004000
4,32,512,0.032000
4,32,1024,1.104000
4,32,2048,9.312000
4,32,4096,80.819000
6,2,1024,25.825000
6,2,2048,232.996000
6,2,512,1.336000
6,2,1024,33.989000
6,2,2048,302.918000
6,2,512,1.077000
6,2,512,1.259000
6,2,1024,34.073000
6,2,512,1.164000
6,2,1024,32.933000
6,2,512,1.038000
6,2,1024,32.779000
6,4,512,0.432000
6,4,1024,7.567000
6,4,2048,64.746000
6,4,512,0.355000
6,4,1024,7.394000
6,4,2048,64.708000
6,4,512,0.359000
6,4,1024,7.350000
6,4,2048,62.790000
6,4,512,0.368000
6,4,1024,7.397000
6,4,2048,62.525000
6,4,512,0.358000
6,4,1024,7.422000
6,4,2048,62.344000
6,8,512,0.242000
6,8,1024,2.466000
6,8,2048,20.385000
6,8,512,0.195000
6,8,1024,2.442000
6,8,2048,20.400000
6,8,512,0.193000
6,8,1024,2.430000
6,8,2048,20.713000
6,8,512,0.183000
6,8,1024,2.425000
6,8,2048,20.253000
6,8,512,0.192000
6,8,1024,2.423000
6,8,2048,20.417000
6,16,512,0.098000
6,16,1024,0.964000
6,16,2048,7.502000
6,16,4096,61.940000
6,16,512,0.082000
6,16,1024,0.921000
6,16,2048,7.510000
6,16,4096,62.189000
6,16,512,0.077000
6,16,1024,0.914000
6,16,2048,7.446000
6,16,4096,62.917000
6,16,512,0.097000
6,16,1024,0.943000
